Label,Score
1,9.453
1,9.342
0,9.256
0,9.192
1,9.088
0,9.005
0,8.951
1,8.894
1,8.748
1,8.74
1,8.725
1,8.275
1,8.26
0,8.258
0,8.235
1,8.21
1,8.139
0,8.132
1,8.063
1,8.033
0,7.999
1,7.968
0,7.942
1,7.823
1,7.784
1,7.771
0,7.729
1,7.596
0,7.566
1,7.512
1,7.478
1,7.453
1,7.262
0,7.26
0,7.239
1,7.185
1,7.167
0,7.155
0,7.135
1,7.133
0,7.114
0,7.07
1,7.051
1,7.017
1,7.012
0,7.003
1,6.977
0,6.975
0,6.938
1,6.935
0,6.926
1,6.925
1,6.91
0,6.907
1,6.885
1,6.883
0,6.871
1,6.867
1,6.847
0,6.835
1,6.831
1,6.814
1,6.812
1,6.806
1,6.79
1,6.778
1,6.776
0,6.759
0,6.752
1,6.744
1,6.723
1,6.704
1,6.694
1,6.691
1,6.686
1,6.686
1,6.681
1,6.678
1,6.648
1,6.638
0,6.638
1,6.632
0,6.631
0,6.619
1,6.612
1,6.605
0,6.589
1,6.586
1,6.583
0,6.581
1,6.575
1,6.561
1,6.56
1,6.552
0,6.549
1,6.546
1,6.544
0,6.517
0,6.517
1,6.513
0,6.504
1,6.503
1,6.499
1,6.494
1,6.485
1,6.478
0,6.476
0,6.475
1,6.465
1,6.461
1,6.46
1,6.459
1,6.456
0,6.451
1,6.435
1,6.433
0,6.432
0,6.431
0,6.43
1,6.427
1,6.426
1,6.426
1,6.425
1,6.419
1,6.418
1,6.417
0,6.416
0,6.412
1,6.408
1,6.401
1,6.396
1,6.393
1,6.391
1,6.389
1,6.377
1,6.376
1,6.37
1,6.368
0,6.368
1,6.366
0,6.365
1,6.364
0,6.362
1,6.36
0,6.36
0,6.358
0,6.349
1,6.343
1,6.332
1,6.33
0,6.326
1,6.325
0,6.321
1,6.32
1,6.319
1,6.316
0,6.312
1,6.31
1,6.309
0,6.307
1,6.3
1,6.299
1,6.296
1,6.294
1,6.292
1,6.292
1,6.286
1,6.285
1,6.273
1,6.272
0,6.268
1,6.265
1,6.259
1,6.256
0,6.25
0,6.248
0,6.245
1,6.244
1,6.241
0,6.233
1,6.232
0,6.228
1,6.227
1,6.225
1,6.222
0,6.219
1,6.205
0,6.203
0,6.203
0,6.202
0,6.199
1,6.198
1,6.196
0,6.192
1,6.173
1,6.171
0,6.16
1,6.159
0,6.157
1,6.154
1,6.154
0,6.154
0,6.154
1,6.148
1,6.129
1,6.125
1,6.124
1,6.09
1,6.074
0,6.066
1,6.063
1,6.061
1,6.06
1,6.06
0,6.058
1,6.046
0,6.045
1,6.044
1,6.041
1,6.038
1,6.037
1,6.037
1,6.035
0,6.03
0,6.026
0,6.015
0,6.014
0,6.011
1,6.009
0,6.007
1,6.004
1,6.002
0,6.002
0,6.001
1,5.997
1,5.996
0,5.995
1,5.98
0,5.965
0,5.963
1,5.96
0,5.959
1,5.957
1,5.955
1,5.948
0,5.945
0,5.943
1,5.942
0,5.942
0,5.919
1,5.915
1,5.915
1,5.907
1,5.903
0,5.903
0,5.902
1,5.901
0,5.898
0,5.897
1,5.887
0,5.887
1,5.873
1,5.872
1,5.862
0,5.861
1,5.86
0,5.86
1,5.859
0,5.854
1,5.848
1,5.847
1,5.845
0,5.843
1,5.838
1,5.837
1,5.837
1,5.829
0,5.827
1,5.822
1,5.804
1,5.795
1,5.791
0,5.789
1,5.787
1,5.783
1,5.782
1,5.781
1,5.771
1,5.77
1,5.766
0,5.755
0,5.73
1,5.723
1,5.718
0,5.718
1,5.717
1,5.715
1,5.702
1,5.695
0,5.69
1,5.689
1,5.688
0,5.683
1,5.679
0,5.671
1,5.665
0,5.661
0,5.659
1,5.657
1,5.65
1,5.646
1,5.643
0,5.639
0,5.631
0,5.628
0,5.627
1,5.62
1,5.619
1,5.615
1,5.611
0,5.599
1,5.597
1,5.575
0,5.566
0,5.563
0,5.556
0,5.555
1,5.546
1,5.532
1,5.53
1,5.515
1,5.513
1,5.509
1,5.508
1,5.504
1,5.503
0,5.487
0,5.465
1,5.449
1,5.44
1,5.437
1,5.435
1,5.435
1,5.425
0,5.408
0,5.408
1,5.391
1,5.375
1,5.373
1,5.371
1,5.368
0,5.359
0,5.34
1,5.291
1,5.287
1,5.279
0,5.263
1,5.233
0,5.231
0,5.23
1,5.225
0,5.199
1,5.134
1,5.12
0,5.109
1,5.067
1,5.027
0,4.964
1,4.946
1,4.889
0,4.889
1,4.807
0,4.786
1,4.703
0,4.672
1,4.616
